=> snapshot time : 7 <ALLOCATTING> , with memory size = 960.
(8), size -> (0) : 
=> snapshot time : 937 <ALLOCATTING> , with memory size = 111.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (1) : < 64 > [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 952 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 952 <ALLOCATTING> , with memory size = 175.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 952 <ALLOCATTING> , with memory size = 175.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 952 <ALLOCATTING> , with memory size = 175.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 952 <ALLOCATTING> , with memory size = 175.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 952 <ALLOCATTING> , with memory size = 175.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 952 <ALLOCATTING> , with memory size = 175.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 952 <ALLOCATTING> , with memory size = 175.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 952 <ALLOCATTING> , with memory size = 175.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 952 <ALLOCATTING> , with memory size = 175.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 952 <ALLOCATTING> , with memory size = 175.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 952 <ALLOCATTING> , with memory size = 175.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 952 <ALLOCATTING> , with memory size = 175.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 975 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 640 | 767 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 975 <ALLOCATTING> , with memory size = 175.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 988 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 384 | 511 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 988 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 384 | 511 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 988 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 384 | 511 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 988 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 384 | 511 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 988 <ALLOCATTING> , with memory size = 175.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 1001 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 768 | 895 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 1001 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 768 | 895 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 1001 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 768 | 895 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 1001 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 768 | 895 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 1001 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 768 | 895 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 1001 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 768 | 895 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 1001 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 768 | 895 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 1001 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 768 | 895 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 1001 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 768 | 895 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 1001 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 768 | 895 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 1001 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 768 | 895 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 1001 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 768 | 895 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 1001 <ALLOCATTING> , with memory size = 175.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 1024 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 896 | 1023 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 1024 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 896 | 1023 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 1024 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 896 | 1023 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 1024 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 896 | 1023 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 1024 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 896 | 1023 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 1024 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 896 | 1023 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 1024 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 896 | 1023 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 1024 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 896 | 1023 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 1024 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 896 | 1023 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 1024 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 896 | 1023 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 1024 <ALLOCATTING> , with memory size = 303.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (2) : < 16 > [ 528 | 543 ] -> [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (2) : < 64 > [ 320 | 383 ] -> [ 576 | 639 ] -> [NULL]
(7), size -> (1) : < 128 > [ 896 | 1023 ] -> [NULL]
